service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
679,0,0,0,0,0,1,1,20190106,20190406
2578,1,1,1,1,1,1,1,20190106,20190406
893,0,0,0,0,0,0,1,20190127,20190217
157,1,1,1,1,1,0,0,20190107,20190405
699,1,1,1,1,1,1,0,20190107,20190406
866,1,1,1,1,1,1,1,20190106,20190406
698,1,1,0,1,1,0,0,20190107,20190405
599,1,1,1,1,1,0,0,20190107,20190405
683,0,0,1,0,0,0,0,20190109,20190403
574,1,1,1,1,1,0,0,20190107,20190201
450,0,0,0,0,0,1,0,20190112,20190202
620,1,1,1,1,1,0,0,20190107,20190405
603,1,1,1,1,1,0,0,20190107,20190405
692,1,1,1,1,1,0,0,20190107,20190405
1091,1,1,1,1,1,1,0,20190107,20190202
1092,1,1,1,1,1,1,0,20190204,20190406
877,1,1,1,1,0,0,0,20190318,20190328
875,1,1,1,1,1,0,0,20190107,20190405
656,0,0,0,0,1,0,1,20190106,20190405
648,1,1,1,1,0,0,0,20190107,20190404
607,1,1,1,1,1,1,0,20190107,20190406
613,0,0,0,0,0,0,1,20190106,20190331
622,1,1,1,1,1,1,1,20190106,20190406
927,0,0,0,0,1,0,1,20190106,20190331
929,0,0,0,0,1,0,0,20190315,20190405
1079,1,1,1,1,1,1,1,20190106,20190406
644,1,1,1,1,0,1,0,20190107,20190406
615,1,1,1,1,1,1,0,20190107,20190406
641,1,0,0,0,0,0,0,20190107,20190401
921,1,1,1,1,1,1,0,20190107,20190406
637,1,1,1,1,1,0,1,20190106,20190203
636,1,1,1,1,1,0,1,20190204,20190405
925,1,1,1,1,1,0,0,20190107,20190405
931,1,1,1,1,1,0,0,20190311,20190401
914,1,1,1,1,1,0,0,20190107,20190405
916,1,1,1,1,1,0,1,20190106,20190405
624,1,1,1,1,1,1,1,20190106,20190406
911,1,1,1,1,1,0,1,20190106,20190331
923,0,0,0,0,0,0,1,20190210,20190331
592,0,0,0,0,0,0,1,20190106,20190203
933,0,0,0,0,0,1,0,20190112,20190406
917,1,1,1,1,1,1,0,20190107,20190406
915,1,1,0,0,1,0,0,20190107,20190405
638,1,1,0,1,1,1,1,20190106,20190406
930,1,1,1,1,1,1,0,20190107,20190406
932,1,1,1,1,1,1,1,20190106,20190406
633,1,1,0,1,1,0,0,20190107,20190405
1100,1,1,1,1,1,1,1,20190106,20190406
556,1,1,1,1,1,0,0,20190107,20190405
1132,1,1,1,1,1,1,0,20190107,20190406
559,0,0,0,0,0,1,0,20190112,20190406
156,0,0,0,0,0,0,1,20190106,20190331
934,1,1,1,0,1,0,0,20190107,20190405
630,1,1,1,1,1,1,0,20190107,20190406
1011,1,1,1,1,1,0,0,20190311,20190329
1012,0,0,0,0,0,0,1,20190106,20190331
1005,0,0,0,0,1,0,0,20190107,20190201
910,1,1,1,1,1,0,0,20190107,20190405
938,1,1,0,1,1,1,0,20190107,20190406
706,1,1,0,0,1,1,1,20190106,20190406
920,1,1,1,1,1,0,0,20190107,20190405
937,1,1,0,1,1,0,0,20190107,20190405
924,0,0,0,0,0,1,1,20190106,20190406
1066,0,0,0,0,0,1,0,20190209,20190406
1014,1,1,1,1,1,1,1,20190204,20190406
1068,0,0,0,0,0,1,0,20190112,20190202
2995,1,1,1,1,1,1,0,20190107,20190406
2909,1,1,1,1,1,0,1,20190106,20190405
182,1,1,1,1,1,0,0,20190107,20190405
2999,0,0,0,0,0,0,1,20190106,20190331
2989,1,1,1,1,1,0,0,20190211,20190405
2730,1,1,1,1,1,0,0,20190107,20190405
2769,0,0,0,0,0,0,1,20190106,20190331
2296,1,1,1,1,1,0,0,20190107,20190405
2638,1,1,1,1,1,1,0,20190107,20190406
2530,1,1,1,1,1,0,0,20190107,20190405
3009,1,1,1,1,1,0,0,20190107,20190405
2636,1,1,1,1,1,1,1,20190225,20190406
2902,1,1,1,1,1,0,0,20190107,20190405
2640,1,1,1,1,1,0,0,20190107,20190405
2732,1,1,1,1,1,0,0,20190107,20190405
2566,1,1,1,1,1,0,1,20190106,20190405
2964,1,1,1,1,1,1,1,20190106,20190208
2965,1,1,1,1,1,1,1,20190209,20190406
2637,1,1,1,1,0,1,1,20190203,20190221
2544,1,1,1,1,1,1,0,20190401,20190406
2507,1,1,1,1,1,1,1,20190106,20190331
2489,1,1,1,1,1,1,1,20190106,20190331
2515,1,1,1,1,1,0,0,20190107,20190329
2508,1,1,1,1,1,1,1,20190106,20190406
2546,0,0,0,0,0,1,1,20190106,20190331
1413,1,1,1,1,1,0,0,20190107,20190405
3038,1,1,1,1,1,0,1,20190106,20190405
3074,0,0,0,0,0,1,0,20190112,20190323
3033,1,1,1,1,1,1,1,20190106,20190405
3055,1,1,1,1,1,1,0,20190107,20190405
3047,1,1,1,1,1,1,1,20190106,20190217
3072,0,0,0,0,0,0,1,20190106,20190324
3027,1,1,1,1,1,1,1,20190106,20190405
3046,0,0,0,0,0,1,1,20190106,20190324
3073,1,1,1,1,1,0,0,20190107,20190405
188,1,1,1,1,1,0,0,20190107,20190405
3022,1,1,1,1,1,0,0,20190107,20190405
3061,1,1,1,1,1,0,0,20190107,20190405
3120,1,1,1,1,1,1,0,20190107,20190217
3036,0,0,0,0,0,1,1,20190106,20190406
3049,1,1,1,1,1,0,0,20190107,20190405
1055,0,0,0,0,0,1,0,20190112,20190406
